,guid,tm,router_mac,user_mac,signal,router_id
421,5625c429-40a4-45c0-9784-7d4be1727d84,2022-12-30 03:02:11.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-60.0,8a823f01-771f-420e-8971-928cba314a24
441,7ce6d31b-95b5-43ae-8212-fdf4c3d39c19,2022-12-30 03:01:29.000 +0300,CC:2D:E0:F3:8C:6E,E0:63:DA:DC:D8:49,-72.0,0b91ef8c-3b4f-4a39-b3a3-9683c6fd7832
453,2f2b41fd-e404-4334-a4be-8118d731c4b1,2022-12-30 03:02:28.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-59.0,8a823f01-771f-420e-8971-928cba314a24
461,a740e6b5-a61b-488f-ac1e-f205356c6c20,2022-12-30 03:02:22.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-58.0,8a823f01-771f-420e-8971-928cba314a24
477,4155fa5e-de4e-448b-8602-b784416c89de,2022-12-30 03:02:11.000 +0300,48:8F:5A:AE:A1:27,E0:63:DA:DC:D8:49,-72.0,a8c8525e-cfcf-416f-88dd-bf1efc79df00
488,9fec9d97-a43e-4450-99ab-fc067082a96a,2022-12-30 03:02:37.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-58.0,8a823f01-771f-420e-8971-928cba314a24
522,6cef305c-f09c-40a8-9605-969da1c25061,2022-12-30 03:06:16.000 +0300,48:8F:5A:AE:A1:27,E0:63:DA:DC:D8:49,-71.0,a8c8525e-cfcf-416f-88dd-bf1efc79df00
550,06cfb047-33e8-4100-a0a4-fccac8e55d37,2022-12-30 03:06:28.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-60.0,8a823f01-771f-420e-8971-928cba314a24
560,ec78cbea-f415-4c2f-b350-ce6a4be6a9f6,2022-12-30 03:02:55.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-60.0,8a823f01-771f-420e-8971-928cba314a24
568,ef6ad751-703b-4184-b30d-e045d4f9e519,2022-12-30 03:02:41.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-59.0,8a823f01-771f-420e-8971-928cba314a24
578,42f1398d-da1b-4885-a1d2-03058ede0c11,2022-12-30 03:02:40.000 +0300,48:8F:5A:AE:A1:27,E0:63:DA:DC:D8:49,-73.0,a8c8525e-cfcf-416f-88dd-bf1efc79df00
591,d713aba9-e0ee-4073-ba6d-bb29517635af,2022-12-30 03:02:51.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-59.0,8a823f01-771f-420e-8971-928cba314a24
618,3466de07-0ef7-404a-8fe3-c3094194b43c,2022-12-30 03:03:11.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-59.0,8a823f01-771f-420e-8971-928cba314a24
628,0dabecfd-266b-4d4b-8819-844477bafacf,2022-12-30 03:03:01.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-60.0,8a823f01-771f-420e-8971-928cba314a24
650,e1178bd3-7fac-4762-8055-44b8eb8e6c6e,2022-12-30 03:03:12.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-59.0,8a823f01-771f-420e-8971-928cba314a24
660,4266b4e2-1050-4b69-b5f6-ccd832ebede4,2022-12-30 03:02:58.000 +0300,48:8F:5A:AE:A1:27,E0:63:DA:DC:D8:49,-72.0,a8c8525e-cfcf-416f-88dd-bf1efc79df00
682,c7a569b7-4745-44e5-a225-71f608fa43b8,2022-12-30 03:03:24.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-58.0,8a823f01-771f-420e-8971-928cba314a24
693,57eb8fb2-11a5-4e5a-b902-4f60c9000dd1,2022-12-30 03:02:30.000 +0300,CC:2D:E0:F3:8C:6E,E0:63:DA:DC:D8:49,-73.0,0b91ef8c-3b4f-4a39-b3a3-9683c6fd7832
717,5101a197-5dc1-4926-b51f-c3ec8597c9ff,2022-12-30 03:03:29.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-58.0,8a823f01-771f-420e-8971-928cba314a24
731,5f01b878-6efc-4351-a73e-75a9689dd7ed,2022-12-30 03:03:25.000 +0300,48:8F:5A:AE:A1:27,E0:63:DA:DC:D8:49,-74.0,a8c8525e-cfcf-416f-88dd-bf1efc79df00
746,48cc737e-61d6-44cd-b03b-23c46dbee3d3,2022-12-30 03:03:44.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-60.0,8a823f01-771f-420e-8971-928cba314a24
780,83e69e93-3c2f-4780-a17b-2384793300e2,2022-12-30 03:03:53.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-59.0,8a823f01-771f-420e-8971-928cba314a24
817,976f09a7-d261-45df-ade6-d3a7a060f79d,2022-12-30 03:04:00.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-59.0,8a823f01-771f-420e-8971-928cba314a24
854,0d53dddf-efe7-4727-a40e-c43e82da2dc0,2022-12-30 03:04:13.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-58.0,8a823f01-771f-420e-8971-928cba314a24
862,d32bae78-35d6-4244-a5e2-8fe37100a689,2022-12-30 03:04:04.000 +0300,48:8F:5A:AE:A1:27,E0:63:DA:DC:D8:49,-74.0,a8c8525e-cfcf-416f-88dd-bf1efc79df00
882,97589925-c897-4069-8448-b7756ed40574,2022-12-30 03:04:31.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-61.0,8a823f01-771f-420e-8971-928cba314a24
891,9a474416-4374-441d-b8d3-c710d7ee73cd,2022-12-30 03:03:36.000 +0300,CC:2D:E0:F3:8C:6E,E0:63:DA:DC:D8:49,-71.0,0b91ef8c-3b4f-4a39-b3a3-9683c6fd7832
912,94df4ce5-b040-4a5e-8bd6-1fca3c82938e,2022-12-30 03:04:33.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-60.0,8a823f01-771f-420e-8971-928cba314a24
938,382c59b1-dce4-4d8d-a676-40c8e897adeb,2022-12-30 03:04:29.000 +0300,48:8F:5A:AE:A1:27,E0:63:DA:DC:D8:49,-74.0,a8c8525e-cfcf-416f-88dd-bf1efc79df00
949,2f38e48c-c8bf-43f8-bff2-dfbc27c744b8,2022-12-30 03:04:48.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-59.0,8a823f01-771f-420e-8971-928cba314a24
959,d19c3e12-5191-4fa2-a5f0-a700e5ed1d9d,2022-12-30 03:04:40.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-58.0,8a823f01-771f-420e-8971-928cba314a24
975,984fda93-6140-4387-a59c-0b022a27b263,2022-12-30 03:04:55.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-59.0,8a823f01-771f-420e-8971-928cba314a24
998,44755b1c-a35f-4be5-a810-e9199108def3,2022-12-30 03:04:58.000 +0300,48:8F:5A:AE:A1:27,E0:63:DA:DC:D8:49,-72.0,a8c8525e-cfcf-416f-88dd-bf1efc79df00
1013,a5fea92a-7189-4216-983b-5dd1a12afd98,2022-12-30 03:05:14.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-60.0,8a823f01-771f-420e-8971-928cba314a24
1022,41723f59-311c-489f-a097-be2348299246,2022-12-30 03:05:08.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-59.0,8a823f01-771f-420e-8971-928cba314a24
1043,83d234fe-5976-4204-ae23-e972f1f226d9,2022-12-30 03:05:12.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-59.0,8a823f01-771f-420e-8971-928cba314a24
1072,e0db7f0b-00f7-48c2-9e6d-2d0511c44581,2022-12-30 03:05:30.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-59.0,8a823f01-771f-420e-8971-928cba314a24
1077,b513b9b4-5df8-443c-a5b7-c1434ef97edf,2022-12-30 03:05:15.000 +0300,48:8F:5A:AE:A1:27,E0:63:DA:DC:D8:49,-73.0,a8c8525e-cfcf-416f-88dd-bf1efc79df00
1082,9a7d5606-7108-4048-adb3-c6623e137b86,2022-12-30 03:05:21.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-59.0,8a823f01-771f-420e-8971-928cba314a24
1089,d7574507-80af-4893-bd9e-16e9888d3a91,2022-12-30 03:04:35.000 +0300,CC:2D:E0:F3:8C:6E,E0:63:DA:DC:D8:49,-73.0,0b91ef8c-3b4f-4a39-b3a3-9683c6fd7832
1116,c20af956-86cf-4761-8a6f-645eb5a29bbf,2022-12-30 03:05:39.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-58.0,8a823f01-771f-420e-8971-928cba314a24
1155,c597bd62-d31c-479d-adfc-7604f0c58a63,2022-12-30 03:05:43.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-59.0,8a823f01-771f-420e-8971-928cba314a24
1173,a5053b1f-2a5b-43a6-ae52-ea9f35d6a425,2022-12-30 03:05:40.000 +0300,48:8F:5A:AE:A1:27,E0:63:DA:DC:D8:49,-72.0,a8c8525e-cfcf-416f-88dd-bf1efc79df00
1197,d3c3ec29-659b-4cc1-8005-7f1ad01ea1fb,2022-12-30 03:05:56.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-60.0,8a823f01-771f-420e-8971-928cba314a24
1205,1062eba3-86ba-45d0-9888-b9aae786bc11,2022-12-30 03:05:49.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-59.0,8a823f01-771f-420e-8971-928cba314a24
1225,b9363354-2598-4048-9eb5-ac4e34c954ad,2022-12-30 03:06:01.000 +0300,48:8F:5A:AE:A1:27,E0:63:DA:DC:D8:49,-71.0,a8c8525e-cfcf-416f-88dd-bf1efc79df00
1245,2afda95b-95f9-4fb6-8020-3f17e885ad77,2022-12-30 03:06:09.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-57.0,8a823f01-771f-420e-8971-928cba314a24
1275,2bb5cf96-08cb-4ee2-a87c-447ce5ad4684,2022-12-30 03:06:20.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-61.0,8a823f01-771f-420e-8971-928cba314a24
1295,207a155e-3b87-4efc-b546-aa1a3c7e964a,2022-12-30 03:06:24.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-58.0,8a823f01-771f-420e-8971-928cba314a24
1303,8efd1c37-f4e7-418a-aff7-1a2a6a1971a4,2022-12-30 03:05:40.000 +0300,CC:2D:E0:F3:8C:6E,E0:63:DA:DC:D8:49,-74.0,0b91ef8c-3b4f-4a39-b3a3-9683c6fd7832
1322,96e10ca8-5807-4408-97bb-2770ae68b992,2022-12-30 03:06:39.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-59.0,8a823f01-771f-420e-8971-928cba314a24
1362,3bea4f98-13b9-45e5-a2fd-c0cb6607c19a,2022-12-30 03:06:48.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-59.0,8a823f01-771f-420e-8971-928cba314a24
1375,a3cfc560-39fe-414d-a1a3-7edc83d96049,2022-12-30 03:06:31.000 +0300,48:8F:5A:AE:A1:27,E0:63:DA:DC:D8:49,-72.0,a8c8525e-cfcf-416f-88dd-bf1efc79df00
1376,62fee049-2d6d-4fce-b532-15a82ac54020,2022-12-30 03:06:42.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-59.0,8a823f01-771f-420e-8971-928cba314a24
1405,d19066c9-8b08-40c7-a251-38a3aec324df,2022-12-30 03:06:56.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-60.0,8a823f01-771f-420e-8971-928cba314a24
1421,9c33ce98-78be-49ec-8ca1-0445b435b9f5,2022-12-30 03:06:57.000 +0300,48:8F:5A:AE:A1:27,E0:63:DA:DC:D8:49,-71.0,a8c8525e-cfcf-416f-88dd-bf1efc79df00
1438,5132d67b-3820-422b-87ef-f58008b23292,2022-12-30 03:07:14.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-60.0,8a823f01-771f-420e-8971-928cba314a24
1448,6ab1d554-d593-4fb0-99ff-3ed98a8429a9,2022-12-30 03:07:09.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-62.0,8a823f01-771f-420e-8971-928cba314a24
1480,5eb64cbd-9f3a-4334-b4c7-dc20fde805d1,2022-12-30 03:07:13.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-58.0,8a823f01-771f-420e-8971-928cba314a24
1493,6d8dbafa-1c5e-43bb-a1b2-eaef81598a9a,2022-12-30 03:07:09.000 +0300,48:8F:5A:AE:A1:27,E0:63:DA:DC:D8:49,-73.0,a8c8525e-cfcf-416f-88dd-bf1efc79df00
1517,b0f265c8-1dc0-403d-84bf-371e13a2fc69,2022-12-30 03:07:32.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-58.0,8a823f01-771f-420e-8971-928cba314a24
1527,2a82d8d1-4b2b-4449-9d73-9f23dbc44a3f,2022-12-30 03:07:26.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-59.0,8a823f01-771f-420e-8971-928cba314a24
1551,f0b487ec-77fd-48b2-b98c-feff5a0788d7,2022-12-30 03:06:43.000 +0300,CC:2D:E0:F3:8C:6E,E0:63:DA:DC:D8:49,-75.0,0b91ef8c-3b4f-4a39-b3a3-9683c6fd7832
1560,a75b65e6-673c-4a2c-bb2c-a33b7539cea7,2022-12-30 03:07:31.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-59.0,8a823f01-771f-420e-8971-928cba314a24
1585,0d7379b0-39dd-4f5f-994c-22418aa8901f,2022-12-30 03:07:30.000 +0300,48:8F:5A:AE:A1:27,E0:63:DA:DC:D8:49,-72.0,a8c8525e-cfcf-416f-88dd-bf1efc79df00
1600,2da4d953-c0f6-4590-9aa0-269310863e3d,2022-12-30 03:07:49.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-60.0,8a823f01-771f-420e-8971-928cba314a24
1606,3a7736c6-fa47-491b-975d-304f0a366da4,2022-12-30 03:07:43.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-60.0,8a823f01-771f-420e-8971-928cba314a24
1624,67f863bf-2d0b-4be7-a52b-6bf56a73ceb0,2022-12-30 03:07:49.000 +0300,48:8F:5A:AE:A1:27,E0:63:DA:DC:D8:49,-73.0,a8c8525e-cfcf-416f-88dd-bf1efc79df00
1653,70a0cf6a-4621-428e-b35a-9a604aaf2140,2022-12-30 03:07:58.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-59.0,8a823f01-771f-420e-8971-928cba314a24
1682,36beace4-05b3-4fac-b848-cd90ff7d21d3,2022-12-30 03:08:16.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-58.0,8a823f01-771f-420e-8971-928cba314a24
1689,564be08e-188e-4f48-a0c8-b1714c57320b,2022-12-30 03:08:03.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-59.0,8a823f01-771f-420e-8971-928cba314a24
1704,b1a266df-40d5-4641-b2b9-c20b6ed8598c,2022-12-30 03:08:06.000 +0300,48:8F:5A:AE:A1:27,E0:63:DA:DC:D8:49,-75.0,a8c8525e-cfcf-416f-88dd-bf1efc79df00
1710,0778b9e8-b880-4f46-8a4e-599d365afcc3,2022-12-30 03:08:14.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-60.0,8a823f01-771f-420e-8971-928cba314a24
1727,63ac8f7d-5c51-4d5a-ab0c-c9cf5d8900fc,2022-12-30 03:08:24.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-59.0,8a823f01-771f-420e-8971-928cba314a24
1764,0c250769-6cab-46c8-b691-1bda905d1b29,2022-12-30 03:08:27.000 +0300,48:8F:5A:AE:A1:27,E0:63:DA:DC:D8:49,-72.0,a8c8525e-cfcf-416f-88dd-bf1efc79df00
1777,8ea2a8e7-2ad6-4839-9d97-4fff30c41cdb,2022-12-30 03:07:40.000 +0300,CC:2D:E0:F3:8C:6E,E0:63:DA:DC:D8:49,-74.0,0b91ef8c-3b4f-4a39-b3a3-9683c6fd7832
1782,2db1ca8b-63a5-444e-9261-b9e7435a10d0,2022-12-30 03:08:32.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-60.0,8a823f01-771f-420e-8971-928cba314a24
1805,a7ebf90f-d108-46a1-8b8c-a593398080d8,2022-12-30 03:08:51.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-60.0,8a823f01-771f-420e-8971-928cba314a24
1822,903d839c-713a-4a74-b6bd-ec20fd7c2ec4,2022-12-30 03:08:55.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-60.0,8a823f01-771f-420e-8971-928cba314a24
1856,7cf37bb6-82a5-42fb-81c5-b1e1d575538d,2022-12-30 03:09:16.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-60.0,8a823f01-771f-420e-8971-928cba314a24
1860,7f2ef0b1-df88-4535-8dfc-028051615935,2022-12-30 03:09:01.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-58.0,8a823f01-771f-420e-8971-928cba314a24
1874,3725a648-54ce-4c0c-ba63-91d99fbd8758,2022-12-30 03:09:02.000 +0300,48:8F:5A:AE:A1:27,E0:63:DA:DC:D8:49,-73.0,a8c8525e-cfcf-416f-88dd-bf1efc79df00
1888,b087dfd9-512f-41c3-a666-5197fa48a48c,2022-12-30 03:09:11.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-60.0,8a823f01-771f-420e-8971-928cba314a24
1916,c1d243ce-5246-49af-99bf-383080034edf,2022-12-30 03:09:34.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-61.0,8a823f01-771f-420e-8971-928cba314a24
1921,1ca4732c-407c-4845-b667-5cbf45be2c00,2022-12-30 03:09:22.000 +0300,48:8F:5A:AE:A1:27,E0:63:DA:DC:D8:49,-73.0,a8c8525e-cfcf-416f-88dd-bf1efc79df00
1924,be80122d-904e-4e54-b547-4788931b04ab,2022-12-30 03:09:28.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-60.0,8a823f01-771f-420e-8971-928cba314a24
1958,55e74363-6b44-4585-9289-0c7e933a0585,2022-12-30 03:09:31.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-59.0,8a823f01-771f-420e-8971-928cba314a24
1984,c6613a3e-cf5e-4c05-92d0-7a94e15ed3b9,2022-12-30 03:09:49.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-63.0,8a823f01-771f-420e-8971-928cba314a24
1990,840ecf6e-5df7-422e-85e5-f5693e3ee7bc,2022-12-30 03:09:44.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-60.0,8a823f01-771f-420e-8971-928cba314a24
1997,2173b6eb-a98c-42fd-9c36-e222cc8da3bb,2022-12-30 03:09:39.000 +0300,48:8F:5A:AE:A1:27,E0:63:DA:DC:D8:49,-73.0,a8c8525e-cfcf-416f-88dd-bf1efc79df00
2027,cb475dcd-26da-464c-a358-15eafcc90f13,2022-12-30 03:09:51.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-58.0,8a823f01-771f-420e-8971-928cba314a24
2052,56413c5b-9b4e-4044-8675-df1b30ceb950,2022-12-30 03:09:56.000 +0300,48:8F:5A:AE:A1:27,E0:63:DA:DC:D8:49,-72.0,a8c8525e-cfcf-416f-88dd-bf1efc79df00
2057,2c40b1e1-85b9-4d91-b704-f7a5e8da62da,2022-12-30 03:10:08.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-60.0,8a823f01-771f-420e-8971-928cba314a24
2064,5a88bc6d-1415-43d2-aaa4-4be00a0f6c43,2022-12-30 03:10:01.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-60.0,8a823f01-771f-420e-8971-928cba314a24
2095,268486d6-3e76-49e7-9ca7-437da0020c03,2022-12-30 03:10:11.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-60.0,8a823f01-771f-420e-8971-928cba314a24
2122,02ed91a9-07f3-4e57-af13-5e535d0328be,2022-12-30 03:10:28.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-60.0,8a823f01-771f-420e-8971-928cba314a24
2163,535b3f96-d7ef-4eed-a2a4-cb829c2e2ce1,2022-12-30 03:10:11.000 +0300,48:8F:5A:AE:A1:27,E0:63:DA:DC:D8:49,-73.0,a8c8525e-cfcf-416f-88dd-bf1efc79df00
2175,7c2a12cb-9e69-49d3-85f5-564ff4ca7f93,2022-12-30 03:10:33.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-60.0,8a823f01-771f-420e-8971-928cba314a24
2211,03c5ce0f-4738-4dda-8bc3-3267b0b1fad3,2022-12-30 03:10:43.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-59.0,8a823f01-771f-420e-8971-928cba314a24
2225,5183d40f-b4eb-4f90-87b8-8526251a741a,2022-12-30 03:10:47.000 +0300,48:8F:5A:AE:A1:27,E0:63:DA:DC:D8:49,-73.0,a8c8525e-cfcf-416f-88dd-bf1efc79df00
2250,f2a89b1e-f7ca-4f57-a320-b3d80d464fa5,2022-12-30 03:10:56.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-60.0,8a823f01-771f-420e-8971-928cba314a24
2268,f7d59aad-9761-479d-b24f-f95697071658,2022-12-30 03:10:59.000 +0300,48:8F:5A:AE:A1:27,E0:63:DA:DC:D8:49,-73.0,a8c8525e-cfcf-416f-88dd-bf1efc79df00
2273,aca8876d-0b50-48b5-840b-1a15584d4c8d,2022-12-30 03:11:08.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-58.0,8a823f01-771f-420e-8971-928cba314a24
2276,31152e72-5edd-4f19-aff7-2b12b131f4ee,2022-12-30 03:11:00.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-60.0,8a823f01-771f-420e-8971-928cba314a24
2298,41ad8098-2a16-4b6e-9e82-a3b0bac169ee,2022-12-30 03:11:15.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-59.0,8a823f01-771f-420e-8971-928cba314a24
2323,00f4c229-d82e-448c-bec9-5ef06225bc51,2022-12-30 03:11:16.000 +0300,48:8F:5A:AE:A1:27,E0:63:DA:DC:D8:49,-72.0,a8c8525e-cfcf-416f-88dd-bf1efc79df00
